,,,,,Primary and Secondary Volume Report by Supervisor,,,,,,
,,,,,,Department: Architecture,,,,,,,,
,,,,,,Fiscal Period 201412,,,,,,,,
Primary Volume,,,,,,,,,,,,,,,
Supervisor: Fernandez /John,,,,,,,,,,,,,,
P031000,Architecture,,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,Balance,
6927638,AGREEME,Wuxi,6927638,High,09/01/2013,08/31/2015,,"31,903","11,645",,"24,387","67,935","100,000","67,935","32,065",6927638
,NT,Jieyang,,Performance,,,,,,,,,,,,
,EXECUTED,Energy,,Composite Panel,,,,,,,,,,,,
,3/29/2013,Saving,,Design,,,,,,,,,,,,
,,Technology,,,,,,,,,,,,,,
,,"Co., Ltd",,,,,,,,,,,,,,
6927762,AGRMT,Henkel AG,6927762,Henkedevelopme,05/15/2013,05/14/2014,,,,,,0,"107,055",0,"107,055",6927762
,DTD MAY,& Co. KGaA,,nt Of A Resource,,,,,,,,,,,,
,"15, 2013",,,Efficient,,,,,,,,,,,,
,,,,,Supervisor Total:,,,"31,903","11,645",,"24,387","67,935","207,055","67,935","139,120",
Supervisor: Glicksman /Leon R,,,,,,,,,,,,,,
P031000,Architecture,,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,Balance,
6890357,AGMT,E.I. Du Pont,6919293,Du-Pont - Mit,01/01/2009,01/30/2017,0,0,0,191,0,191,"711,925","706,575","5,350",6919293
,EFF.,De Nemours,,Alliance Research,,,,,,,,,,,,
,12/10/99,& Company,,,,,,,,,,,,,,
